Dimension 1,Dimension 2,prediction
69.556786,-103.02066,-1
-12.735862,16.390942,445
-54.116894,-15.967543,284
-72.34186,-14.117843,284
23.748856,43.213814,350
-30.71347,-60.250946,450
77.49567,-62.699146,300
109.534515,60.33981,198
102.163124,27.843029,-1
57.30327,53.581127,-1
153.56851,88.400024,69
114.66598,9.466384,400
75.75983,-10.567426,336
113.88675,-106.2999,23
75.3018,52.090633,358
47.99777,56.395397,386
20.45305,107.77604,-1
-115.13333,-61.275517,219
-95.60039,133.62074,107
-19.822803,108.62384,185
31.95618,8.806821,-1
61.329765,42.77153,358
-6.870301,189.32037,8
2.9533162,21.516111,441
93.380356,138.04552,207
-104.0228,75.326035,150
-102.99479,75.04951,150
50.410156,-27.877098,279
127.923,-72.30999,241
75.596016,8.054977,431
-136.51198,12.157942,159
71.62908,-38.31611,293
-76.996284,-131.49516,403
-74.78039,-124.00824,403
12.718121,-30.785383,-1
99.83064,107.876595,229
99.81107,107.894585,229
26.612394,54.19356,351
39.369637,131.30074,322
-172.4159,-47.2412,-1
-46.06042,-109.99391,-1
-42.808674,-107.031494,313
-43.851555,-105.87334,313
157.87794,11.754452,-1
25.11129,55.43228,351
-146.62227,89.948814,167
59.79891,-123.42952,-1
-7.499024,-97.27534,355
-76.09,-97.71553,-1
-151.67776,28.160803,162
27.05011,-68.75585,377
-38.43961,-49.755653,-1
79.41643,17.194403,435
79.286545,17.570358,435
-167.53067,43.201885,148
-48.12323,100.45579,-1
3.570109,-105.73723,341
-59.30488,8.473196,272
-127.92011,106.51352,18
-65.54816,-90.84537,457
-63.923546,-90.76889,457
56.44261,-136.81038,-1
56.45127,-137.88655,-1
-9.320902,-39.08625,-1
-50.4343,-4.50519,262
-33.05698,48.411213,277
-87.76272,-56.249516,-1
6.5712643,-19.651741,-1
140.92682,21.52101,27
-5.3092217,-20.08612,424
-43.3571,-34.94795,430
-43.351177,-34.998962,430
56.60935,-115.55328,179
29.258793,32.61553,-1
11.728552,-70.80931,371
2.6154916,-62.950516,228
74.98922,-71.83439,300
20.58876,61.743404,346
83.961685,8.760881,435
29.957548,-46.605434,-1
-26.475882,65.30202,282
22.56673,-128.42451,-1
-31.955814,-121.73124,-1
26.055624,-28.209454,-1
-187.26846,-41.43951,16
-188.7626,-40.48011,16
-187.31825,-41.307804,16
74.49165,89.26709,-1
60.278435,-58.447994,292
39.406704,116.04041,303
164.81177,3.824023,28
172.37654,-9.238904,29
176.42744,8.021672,42
85.14897,-117.61829,142
-116.64822,51.750572,131
-138.07289,30.365257,175
71.145935,-82.460815,300
-8.7043085,188.44225,8
-8.578152,187.0116,8
-6.5123367,187.93065,8
-64.01742,-19.50983,284
-8.218389,186.28525,8
151.19186,-53.0087,112
46.629288,38.891914,-1
135.40707,-80.91623,241
-140.07356,51.499657,181
134.92809,-34.50607,-1
-78.500404,48.94165,239
-40.085068,7.6913595,257
-140.48683,-36.342785,26
-105.083626,-78.40781,-1
130.4413,21.244383,362
-75.79235,33.74409,254
-127.20976,27.290802,174
-127.84314,26.40654,174
11.140204,-91.06608,340
-77.984314,-105.506935,-1
69.594986,61.79075,382
-59.59271,-72.45225,-1
92.94894,-108.90741,142
-70.47399,-50.166874,448
65.66208,-51.941788,292
94.41437,-35.689453,290
60.982185,133.1325,53
-46.098484,62.934605,193
95.27246,116.894875,230
-89.68782,-109.454285,409
-159.46016,66.60206,125
-113.085785,46.78679,-1
59.34474,76.48569,384
88.98842,-17.828512,296
41.53929,-146.9062,-1
79.74128,61.015453,368
84.93449,70.80797,90
