Dimension 1,Dimension 2,prediction
-83.97495,-101.79925,-1
-8.828148,-44.400135,163
-9.50798,-44.191124,163
3.1431878,-37.049923,-1
48.308327,13.991707,-1
-57.167683,-44.302563,-1
-39.05009,50.248173,164
-39.142918,50.254276,164
23.225254,-32.02695,-1
-34.453243,-41.490852,-1
-96.30949,-38.581303,165
112.5093,-62.440857,166
103.84705,-105.456154,167
-53.68582,82.96403,-1
-84.58668,-114.24984,-1
90.052155,98.40378,-1
116.562996,12.314688,-1
-72.21476,-79.45883,879
-55.4102,-142.55942,168
87.5566,-16.944702,-1
-38.47902,-43.02916,-1
32.942066,-58.055317,169
-133.28012,-86.71289,170
127.616936,59.52534,1177
35.189426,-110.36231,171
163.0355,-32.551723,172
-117.20399,31.0308,-1
83.9455,-21.08618,268
30.74733,146.3059,173
30.900303,146.35248,173
-74.23442,69.14695,-1
-135.32346,66.96493,-1
-26.443237,-157.18451,-1
99.33623,-80.60089,174
-57.19847,-67.66602,175
54.340927,-9.856672,176
-76.40628,-81.789246,-1
-71.12352,59.458664,893
6.9725146,-120.23252,177
-5.2354136,-48.950294,178
147.24068,-49.358513,-1
-74.62149,-8.172253,-1
-50.73891,1.9972848,-1
39.209522,-151.02588,179
-18.34656,64.84253,-1
-115.24517,10.652309,180
-115.16304,10.8831415,180
35.883068,34.396336,181
-20.077795,-54.762665,182
46.143833,-100.60538,-1
22.962944,-20.269676,183
-95.992805,-60.590324,184
-116.92474,89.40003,185
-98.83731,29.908213,186
-31.741367,90.74439,187
53.255836,-11.540706,188
36.96529,140.86514,189
38.245895,141.35938,-1
81.25,42.223045,1792
78.310425,47.498135,190
33.60141,-103.05554,-1
53.635742,34.83311,191
-94.27024,144.83578,3060
134.62642,3.4081476,192
113.72016,-23.07458,193
113.01961,-26.240751,194
-128.78323,107.48996,195
-55.763805,3.2286382,196
-145.73831,-18.794134,197
-10.99233,-145.11983,198
110.08699,-38.525864,-1
82.59352,-69.7873,199
-92.88283,-26.823143,-1
74.09368,24.7754,200
88.38743,19.493994,201
17.716692,77.68239,-1
-91.527565,-29.328882,202
12.772988,-30.649069,203
106.3119,44.965206,204
-110.32797,121.29653,205
97.40196,-10.186356,206
22.325443,17.394659,207
3.4901123,-29.073145,208
3.4519684,-29.064001,208
98.93901,-14.980649,209
11.255742,-15.445173,210
144.96515,12.220351,211
84.162964,-83.04584,212
83.53879,-82.15862,212
134.54869,2.047892,-1
88.3004,-67.58452,213
-63.620583,-29.262197,214
41.951508,85.66458,215
41.937103,85.4948,215
-43.352085,-32.172966,-1
105.173035,-45.723896,216
149.40921,-84.877075,-1
43.179893,-140.48296,-1
-35.639767,74.55114,1687
-30.180016,-39.641453,-1
41.916565,132.52722,217
-131.60786,6.0252314,218
-105.59502,82.058945,3342
18.77643,-3.2389152,219
77.85069,-27.358496,220
120.60247,-57.43195,221
96.76952,127.23281,-1
-7.555573,99.627365,2393
-60.372326,-43.857037,-1
-17.502842,-7.4122257,222
-17.9058,-7.2580147,222
-65.34847,-101.57727,223
-2.8481545,8.079654,-1
45.27994,-36.04625,-1
